  1.00  -15.0000   -4.8658   -8.4783            -2.50955            -0.27896             0.26704          1451.16132
  1.00  -15.0000   -4.7987    5.1672            -2.53275            -0.13122             0.65574          2972.39018
  1.00  -15.0000   -4.7315   -7.9766            -2.51627            -0.30475             0.00092          1336.82159
  1.00  -15.0000   -4.6644    5.6689            -2.50532            -0.13741             0.43639          2843.07996
  1.00  -15.0000   -4.5973   -7.4749            -2.50258            -0.32409             0.54620          1263.02440
  1.00  -15.0000   -4.4631    6.4716            -2.52790            -0.17757             0.46306          2222.59812
  1.00  -15.0000   -4.2617    7.2742            -2.52171            -0.20686             0.21710          1922.14308
  1.00  -15.0000   -4.1946   -5.8696            -2.52851            -0.42201             0.48735           993.15538
  1.00  -15.0000   -3.9933  -14.7993            -2.50585            -0.75731             0.41494           597.70903
  1.00  -15.0000   -3.9933    8.3779            -2.52345            -0.25422             0.28610          1582.63083
  1.00  -15.0000   -3.9262  -14.4983            -2.51240            -0.79315             0.15310           575.21818
  1.00  -15.0000   -3.8591  -14.1973            -2.50550            -0.82808             0.42882           555.17519
  1.00  -15.0000   -3.8591   -4.4649            -2.51285            -0.50942             0.13509           839.90425
  1.00  -15.0000   -3.7919   -4.1639            -2.52984            -0.53662             0.53999           802.39607
  1.00  -15.0000   -3.7248   -3.8629            -2.54047            -0.56247             0.96264           770.11792
  1.00  -15.0000   -3.5906   10.0836            -2.50487            -0.32689             0.45416          1253.06530
  1.00  -15.0000   -3.5235   -2.9599            -2.53407            -0.63397             0.70837           694.54180
  1.00  -15.0000   -3.5235   10.3846            -2.51723            -0.34658             0.03893          1187.54081
  1.00  -15.0000   -3.4564   -2.6589            -2.51934            -0.65647             0.12277           674.16037
  1.00  -15.0000   -3.4564   10.6856            -2.52599            -0.36517             0.38714          1132.18527
  1.00  -15.0000   -3.3893   -2.3579            -2.49850            -0.67867             0.71022           655.38404
  1.00  -15.0000   -3.3893   10.9866            -2.53111            -0.38273             0.59069          1084.81470
  1.00  -15.0000   -3.3221   11.2876            -2.53256            -0.39936             0.64824          1043.81863
  1.00  -15.0000   -3.2550   11.5886            -2.53031            -0.41512             0.55899          1007.98147
  1.00  -15.0000   -3.1879   11.8896            -2.52437            -0.43009             0.32266           976.36639
  1.00  -15.0000   -3.1208   12.1906            -2.51473            -0.44436             0.06049           948.23672
  1.00  -15.0000   -3.0537   -0.7525            -2.52589            -0.85174             0.38312           542.52795
  1.00  -15.0000   -3.0537   12.4916            -2.50141            -0.45798             0.59302           923.00242
  1.00  -15.0000   -2.7852    0.5518            -2.52818            -1.01666             0.47411           470.74202
  1.00  -15.0000   -2.6510   14.3980            -2.52648            -0.59021             0.40671           738.61575
  1.00  -15.0000   -2.5168    1.8562            -2.51017            -1.21501             0.24216           410.21850
  1.00  -15.0000   -2.2483    3.1605            -2.52146            -1.46294             0.20697           357.64554
  1.00  -15.0000   -1.8456   -5.3679            -2.51571            -5.43955             0.02151           244.31571
  1.00  -15.0000   -1.7785    5.3679            -2.52173            -2.03923             0.21776           284.83411
  1.00  -15.0000   -1.7114    5.6689            -2.49786            -2.14476             0.73620           275.74020
  1.00  -15.0000   -1.5101    6.5719            -2.50786            -2.48301             0.33447           251.79968
  1.00  -14.8997   -4.8658    4.9666            -2.53347            -0.11914             0.68452          3263.72452
  1.00  -14.8997   -4.7987   -8.1773            -2.50024            -0.28215             0.64028          1435.86319
  1.00  -14.8997   -4.7315    5.4682            -2.51395            -0.12835             0.09137          3036.66555
  1.00  -14.8997   -4.6644   -7.6756            -2.50081            -0.30604             0.61754          1331.59208
  1.00  -14.8997   -4.3960    6.7726            -2.49995            -0.17153             0.65195          2297.41881
  1.00  -14.8997   -4.3289   -6.3712            -2.50971            -0.37746             0.26045          1098.57665
  1.00  -14.8997   -4.1275    7.8763            -2.53378            -0.23042             0.69664          1735.82572
  1.00  -14.8997   -4.0604   -5.2676            -2.53045            -0.45063             0.56424           936.42743
  1.00  -14.8997   -3.8591    8.9799            -2.51299            -0.27026             0.12973          1494.63958
  1.00  -14.8997   -3.7919    9.2809            -2.54136            -0.29492             0.99816          1378.05707
  1.00  -14.8997   -3.5906  -12.8930            -2.53613            -0.99766             0.79025           477.80354
  1.00  -14.8997   -3.1208   -1.0535            -2.50658            -0.79726             0.38570           572.76952
  1.00  -14.8997   -2.9866   -9.9833            -2.53384            -1.66027             0.69902           327.02365
  1.00  -14.8997   -2.8523    0.2508            -2.52301            -0.95540             0.26880           494.51532
  1.00  -14.8997   -2.7852   13.7960            -2.53351            -0.54069             0.68601           797.11374
  1.00  -14.8997   -2.7181   14.0970            -2.50355            -0.55236             0.50703           782.37828
  1.00  -14.8997   -2.5839   -8.1773            -2.50093            -2.44194             0.61239           254.35268
  1.00  -14.8997   -2.5839    1.5552            -2.50638            -1.14046             0.39358           430.49760
  1.00  -14.8997   -2.3154    2.8595            -2.49884            -1.37074             0.69664           374.97637
  1.00  -14.8997   -1.9799    4.4649            -2.50842            -1.73554             0.31212           317.17752
  1.00  -14.8997   -1.2416    7.7759            -2.49845            -2.97991             0.71258           226.48723
  1.00  -14.7993   -4.9329    4.7659            -2.52876            -0.10487             0.49703          3694.02692
  1.00  -14.7993   -4.7987    5.2676            -2.51708            -0.11715             0.03306          3317.37387
  1.00  -14.7993   -4.6644    5.7692            -2.49421            -0.12504             0.88350          3114.36140
  1.00  -14.7993   -4.4631    6.5719            -2.52377            -0.16810             0.29882          2342.18725
  1.00  -14.7993   -4.3960   -6.5719            -2.53578            -0.36756             0.77638          1125.45394
